"Loja";"Name Searched";"Name Found";"Price";"URL"
"Fast Shop";"Ghost Recon Shadow Wars";"-";"-";"http://www.fastshop.com.br/webapp/wcs/stores/servlet/SearchDisplay?searchTerm=<BUSCA>&categoryId=&storeId=10151&catalogId=11052&langId=-6&pageSize=9&beginIndex=0&sType=SimpleSearch&resultCatEntryType=2&showResultsPage=true&searchSource=Q&pageView=&hotsite=fastshop"
"FNAC";"Ghost Recon Shadow Wars";"-";"-";"http://busca.fnac.com.br/?busca=<BUSCA>"
"Kabum";"Ghost Recon Shadow Wars";"-";"-";"http://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=<BUSCA>&btnG="
"Livraria Cultura";"Ghost Recon Shadow Wars";"GHOST RECON - SHADOW WARS (3DS)";"Indisponível";"http://www.livrariacultura.com.br/p/ghost-recon-shadow-wars-3ds-22653330"
"Mula Games";"Ghost Recon Shadow Wars";"Tom Clancy's Ghost Recon: Shadow Wars - 3DS";"188.9";"http://www.mulagames.com.br/Tom-Clancy-s-Ghost-Recon--Shadow-Wars-3DS/prod-457333/"
"Ponto Frio";"Ghost Recon Shadow Wars";"-";"-";"http://search.pontofrio.com.br/search?w=<BUSCA>"
"Ricardo Eletro";"Ghost Recon Shadow Wars";"-";"-";"http://www.ricardoeletro.com.br/Busca/Resultado/?q=<BUSCA>"
"RiHappy";"Ghost Recon Shadow Wars";"-";"-";"http://www.rihappy.com.br/<BUSCA>"
"Saraiva";"Ghost Recon Shadow Wars";"Tom Clancy's Ghost Recon: Shadow Wars - 3ds";"R$ 99,90";"http://busca.saraiva.com.br/click?apikey=saraiva-v5&search_id=6375c9ea-5f7e-4aa9-9935-64de89e7263a&pid=3451269&page=1&prodIdx=0&q=Ghost+Recon+Shadow+Wars"
"Shop Facil";"Ghost Recon Shadow Wars";"-";"-";"http://ww2.shopfacil.com.br/<BUSCA>"
"Shop Time";"Ghost Recon Shadow Wars";"Tom Clancys Ghost Recon: Shadow Wars - 3ds";"R$ 129,90";"http://www.shoptime.com.br/produto/7978664/tom-clancys-ghost-recon-shadow-wars-3ds"
"Shop Time";"Ghost Recon Shadow Wars";"Tom Clancys Ghost Recon: Shadow Wars - 3ds";"R$ 129,90";"http://www.shoptime.com.br/produto/7978664/tom-clancys-ghost-recon-shadow-wars-3ds"
"ShopB";"Ghost Recon Shadow Wars";"-";"-";"http://www.shopb.com.br/buscar?q=<BUSCA>"
"Submarino";"Ghost Recon Shadow Wars";"Tom Clancys Ghost Recon: Shadow Wars - 3ds";"R$ 129,90";"http://www.submarino.com.br/produto/7978664/tom-clancys-ghost-recon-shadow-wars-3ds"
"Walmart";"Ghost Recon Shadow Wars";"Ghost Recon Shadow Wars N3DS";"129.9";"http://www.walmart.com.br//ghost-recon-shadow-wars-n3ds/2374317/pr"
"Zig Store";"Ghost Recon Shadow Wars";"3DS - Tom Clancy's Ghost Recon: Shadow Wars";"R$ 92,22";"http://www.zigstore.com.br/pesquisa/?p=Ghost+Recon+Shadow+Wars"
"Nintendo eShop";"Devil Survivor Overclocked";"Shin Megami Tensei: Devil Survivor Overclocked";"$29.99";"http://www.nintendo.com/games/detail/tKDJ7tyZ-olVhVBW9mswLhlRxJr0mcZG"
"Americanas";"Devil Survivor Overclocked";"Game Shin Megami Tensei: Devil Survivor Overclocked Atlus - 3DS";"R$ 189,90";"http://www.americanas.com.br/produto/110349692/game-shin-megami-tensei-devil-survivor-overclocked-atlus-3ds"
"Big Boy Games";"Devil Survivor Overclocked";"3DS - Shin Megami Tensei - Devil Survivor Overclocked";"R$ 99,98";"http://www.bigboygames.com.br/pesquisa/?p=Devil+Survivor+Overclocked"
"Balão da Informática";"Devil Survivor Overclocked";"-";"-";"https://www.balaodainformatica.com.br/Produtos/Buscar/?busca=<BUSCA>"
"Casas Bahia";"Devil Survivor Overclocked";"Devil Survivor Overclocked 3DS";"189,90";"http://buscas.casasbahia.com.br/search?w=Devil+Survivor+Overclocked"
"Extra";"Devil Survivor Overclocked";"Devil Survivor Overclocked 3DS";"189,90";"http://buscando.extra.com.br/search?p=R&srid=S2-1IADP&lbc=extra&w=Devil%20Survivor%20Overclocked&url=http%3a%2f%2fproduto.extra.com.br%2f6156360%3f&rk=1&uid=323049776&sid=2&ts=custom&rsc=tzV97hemX2iWibLt&method=and&isort=score&view=grid"
"E-Virtua";"Devil Survivor Overclocked";"-";"-";"http://www.evirtua.com.br/Busca?search_department_id=0&SearchTerm=<BUSCA>"
"Fast Games";"Devil Survivor Overclocked";"-";"-";"http://www.fastgames.com.br/loja/busca.php?loja=187970&palavra_busca=<BUSCA>"
"Fast Shop";"Devil Survivor Overclocked";"-";"-";"http://www.fastshop.com.br/webapp/wcs/stores/servlet/SearchDisplay?searchTerm=<BUSCA>&categoryId=&storeId=10151&catalogId=11052&langId=-6&pageSize=9&beginIndex=0&sType=SimpleSearch&resultCatEntryType=2&showResultsPage=true&searchSource=Q&pageView=&hotsite=fastshop"
"FNAC";"Devil Survivor Overclocked";"-";"-";"http://busca.fnac.com.br/?busca=<BUSCA>"
"Kabum";"Devil Survivor Overclocked";"-";"-";"http://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=<BUSCA>&btnG="
"Mula Games";"Devil Survivor Overclocked";"Shin Megami Tensei: Devil Survivor Overclocked - 3DS";"139.9";"http://www.mulagames.com.br/Shin-Megami-Tensei--Devil-Survivor-Overclocked-3DS/prod-457527/"
"Net Shoes";"Devil Survivor Overclocked";"-";"-";"http://www.netshoes.com.br/search?Ntt=<BUSCA>"
"Ponto Frio";"Devil Survivor Overclocked";"-";"-";"http://search.pontofrio.com.br/search?w=<BUSCA>"
"Ricardo Eletro";"Devil Survivor Overclocked";"-";"-";"http://www.ricardoeletro.com.br/Busca/Resultado/?q=<BUSCA>"
"RiHappy";"Devil Survivor Overclocked";"-";"-";"http://www.rihappy.com.br/<BUSCA>"
"Shop Facil";"Devil Survivor Overclocked";"-";"-";"http://ww2.shopfacil.com.br/<BUSCA>"
"Shop Time";"Devil Survivor Overclocked";"Game Shin Megami Tensei: Devil Survivor Overclocked Atlus - 3DS";"R$ 189,90";"http://www.shoptime.com.br/produto/110349692/game-shin-megami-tensei-devil-survivor-overclocked-atlus-3ds"
"ShopB";"Devil Survivor Overclocked";"-";"-";"http://www.shopb.com.br/buscar?q=<BUSCA>"
"Submarino";"Devil Survivor Overclocked";"Game Shin Megami Tensei: Devil Survivor Overclocked Atlus - 3DS";"R$ 189,90";"http://www.submarino.com.br/produto/110349692/game-shin-megami-tensei-devil-survivor-overclocked-atlus-3ds"
"Walmart";"Devil Survivor Overclocked";"Shin Megami Tensei: Devil Survivor Overclocked - 3DS";"189.9";"http://www.walmart.com.br//shin-megami-tensei-devil-survivor-overclocked-3ds/2255247/pr"
"Nintendo eShop";"Pokemon Conquest";"Pokémon Conquest";"Indisponível";"http://www.nintendo.com/games/detail/0zrkDpkzsBO049BU7kwD4UfPN1bPdVFP"
"Americanas";"Pokemon Conquest";"Game Pokémon Conquest - 3DS";"R$ 75,05";"http://www.americanas.com.br/produto/111435357/game-pokemon-conquest-3ds"
"Big Boy Games";"Pokemon Conquest";"DS - Pokemon Conquest";"R$ 65,50";"http://www.bigboygames.com.br/pesquisa/?p=Pokemon+Conquest"
"Balão da Informática";"Pokemon Conquest";"-";"-";"https://www.balaodainformatica.com.br/Produtos/Buscar/?busca=<BUSCA>"
"Casas Bahia";"Pokemon Conquest";"Jogo Pokémon Conquest - NDS";"Indisponível";"http://buscas.casasbahia.com.br/search?w=Pokemon+Conquest"
"Extra";"Pokemon Conquest";"Jogo Pokémon Conquest - NDS";"Indisponível";"http://buscando.extra.com.br/search?p=R&srid=S2-7IADP&lbc=extra&w=Pokemon%20Conquest&url=http%3a%2f%2fproduto.extra.com.br%2f1682275%3f&rk=1&uid=323305905&sid=2&ts=custom&rsc=M8yRFgZy3swYkeS0&method=and&isort=score&view=grid"
"E-Virtua";"Pokemon Conquest";"-";"-";"http://www.evirtua.com.br/Busca?search_department_id=0&SearchTerm=<BUSCA>"
"Fast Games";"Pokemon Conquest";"-";"-";"http://www.fastgames.com.br/loja/busca.php?loja=187970&palavra_busca=<BUSCA>"
"Fast Shop";"Pokemon Conquest";"-";"-";"http://www.fastshop.com.br/webapp/wcs/stores/servlet/SearchDisplay?searchTerm=<BUSCA>&categoryId=&storeId=10151&catalogId=11052&langId=-6&pageSize=9&beginIndex=0&sType=SimpleSearch&resultCatEntryType=2&showResultsPage=true&searchSource=Q&pageView=&hotsite=fastshop"
"Kabum";"Pokemon Conquest";"-";"-";"http://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=<BUSCA>&btnG="
"Livraria Cultura";"Pokemon Conquest";"POKEMON CONQUEST (DS)";"Indisponível";"http://www.livrariacultura.com.br/p/pokemon-conquest-ds-30029583"
"Mula Games";"Pokemon Conquest";"-";"-";"http://www.mulagames.com.br/produtos-index/catalogo_produtos/-/-/<BUSCA>/-/-/-/-/-/"
"Ponto Frio";"Pokemon Conquest";"-";"-";"http://search.pontofrio.com.br/search?w=<BUSCA>"
"Ricardo Eletro";"Pokemon Conquest";"-";"-";"http://www.ricardoeletro.com.br/Busca/Resultado/?q=<BUSCA>"
"RiHappy";"Pokemon Conquest";"-";"-";"http://www.rihappy.com.br/<BUSCA>"
"Shop Facil";"Pokemon Conquest";"Jogo Nintendo DS - Pokemon Conquest";"Indisponível";"http://ww2.shopfacil.com.br/jogo-nintendo-ds---pokemon-conquest-2198143/p"
"Shop Time";"Pokemon Conquest";"Game Pokémon Conquest - 3DS";"R$ 75,05";"http://www.shoptime.com.br/produto/111435357/game-pokemon-conquest-3ds"
"Submarino";"Pokemon Conquest";"Game Pokémon Conquest - 3DS";"R$ 79,00";"http://www.submarino.com.br/produto/111435357/game-pokemon-conquest-3ds"
"Big Boy Games";"Pokemon Black DS";"DS - Pokemon Versão Black 2";"R$ 138,99";"http://www.bigboygames.com.br/ds-pokemon-versao-black-2-p4430/"
"Big Boy Games";"Pokemon Black DS";"DS - Pokemon Versão Black";"R$ 129,98";"http://www.bigboygames.com.br/ds-pokemon-versao-black-p2603/"
"Balão da Informática";"Pokemon Black DS";"Pokemon Black Version 2 - Ds";"Indisponível";"https://www.balaodainformatica.com.br//Produto/52199/Pokemon-Black-Version-2---Ds"
"Balão da Informática";"Pokemon Black DS";"Nintendo Pokémon Black Version - Nintendo DS";"Indisponível";"https://www.balaodainformatica.com.br//Produto/33792/Nintendo-Pokemon-Black-Version---Nintendo-DS"
"Casas Bahia";"Pokemon Black DS";"Jogo Pokémon Rumble Blast - 3DS";"299,90";"http://buscas.casasbahia.com.br/search?w=Pokemon+Black+DS"
"E-Virtua";"Pokemon Black DS";"-";"-";"http://www.evirtua.com.br/Busca?search_department_id=0&SearchTerm=<BUSCA>"
"Fast Games";"Pokemon Black DS";"-";"-";"http://www.fastgames.com.br/loja/busca.php?loja=187970&palavra_busca=<BUSCA>"
"Fast Shop";"Pokemon Black DS";"-";"-";"http://www.fastshop.com.br/webapp/wcs/stores/servlet/SearchDisplay?searchTerm=<BUSCA>&categoryId=&storeId=10151&catalogId=11052&langId=-6&pageSize=9&beginIndex=0&sType=SimpleSearch&resultCatEntryType=2&showResultsPage=true&searchSource=Q&pageView=&hotsite=fastshop"
"FNAC";"Pokemon Black DS";"-";"-";"http://busca.fnac.com.br/?busca=<BUSCA>"
"Kabum";"Pokemon Black DS";"-";"-";"http://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=<BUSCA>&btnG="
"Mula Games";"Pokemon Black DS";"-";"-";"http://www.mulagames.com.br/produtos-index/catalogo_produtos/-/-/<BUSCA>/-/-/-/-/-/"
"Ponto Frio";"Pokemon Black DS";"-";"-";"http://search.pontofrio.com.br/search?w=<BUSCA>"
"Ricardo Eletro";"Pokemon Black DS";"-";"-";"http://www.ricardoeletro.com.br/Busca/Resultado/?q=<BUSCA>"
"RiHappy";"Pokemon Black DS";"-";"-";"http://www.rihappy.com.br/<BUSCA>"
"Shop Facil";"Pokemon Black DS";"Jogo Nintendo DS - Pokémon Black Version";"Indisponível";"http://ww2.shopfacil.com.br/jogo-nintendo-ds---pokemon-black-version-2201841/p"
"Shop Facil";"Pokemon Black DS";"Jogo Nintendo DS - Pokemon Black II";"Indisponível";"http://ww2.shopfacil.com.br/jogo-nintendo-ds---pokemon-black-ii-2194438/p"
"Walmart";"Pokemon Black DS";"Pokemon Black Version 2 DS";"Indisponível";"http://www.walmart.com.br//pokemon-black-version-2-ds/2373659/pr"
"Nintendo eShop";"Pokemon Platinum";"Pokémon Platinum";"Indisponível";"http://www.nintendo.com/games/detail/JoArRkwnb2vOPnAM4jd5vNF1VMoQVvjE"
"Balão da Informática";"Pokemon Platinum";"NINTENDO Pokémon Platinum Version - NINTENDO DS";"Indisponível";"https://www.balaodainformatica.com.br//Produto/40567/NINTENDO-Pokemon-Platinum-Version---NINTENDO-DS"
"E-Virtua";"Pokemon Platinum";"-";"-";"http://www.evirtua.com.br/Busca?search_department_id=0&SearchTerm=<BUSCA>"
"Fast Games";"Pokemon Platinum";"-";"-";"http://www.fastgames.com.br/loja/busca.php?loja=187970&palavra_busca=<BUSCA>"
"Fast Shop";"Pokemon Platinum";"-";"-";"http://www.fastshop.com.br/webapp/wcs/stores/servlet/SearchDisplay?searchTerm=<BUSCA>&categoryId=&storeId=10151&catalogId=11052&langId=-6&pageSize=9&beginIndex=0&sType=SimpleSearch&resultCatEntryType=2&showResultsPage=true&searchSource=Q&pageView=&hotsite=fastshop"
"FNAC";"Pokemon Platinum";"-";"-";"http://busca.fnac.com.br/?busca=<BUSCA>"
"Kabum";"Pokemon Platinum";"-";"-";"http://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=<BUSCA>&btnG="
"Livraria Cultura";"Pokemon Platinum";"POKEMON ADVENTURES DIAMOND & PEARL PLATINUM BOX LIVRARIA CULTURA - SHOPPING FASHION MALL LIVRARIA CULTURA - SHOPPING MARKET PLACE LIVRARIA CULTURA - BOURBON SHOPPING COUNTRY LIVRARIA CULTURA - BOURBON SHOPPING SÃO PAULO LIVRARIA CULTURA - SHOPPING CURITIBA LIVRARIA CULTURA - SHOPPING VARANDA MALL LIVRARIA CULTURA - CONJUNTO NACIONAL GEEK.ETC.BR - CONJUNTO NACIONAL LIVRARIA CULTURA - PAÇO ALFÂNDEGA LIVRARIA CULTURA - SHOPPING VILLA-LOBOS LIVRARIA CULTURA - SHOPPING RIOMAR LIVRARIA CULTURA - CINE VITÓRIA LIVRARIA CULTURA - SHOPPING IGUATEMI SÃO PAULO LIVRARIA CULTURA - SHOPPING IGUATEMI RIBEIRÃO PRETO LIVRARIA CULTURA - SALVADOR SHOPPING LIVRARIA CULTURA - CASAPARK SHOPPING CENTER LIVRARIA CULTURA - SHOPPING IGUATEMI CAMPINAS LIVRARIA CULTURA - SHOPPING CENTER IGUATEMI BRASÍLIA";"R$ 489,60";"http://www.livrariacultura.com.br/p/pokemon-adventures-diamond-pearl-platinum-box-42253223"
"Livraria Cultura";"Pokemon Platinum";"POKEMON ADVENTURES DIAMOND AND PEARL PLATINUM LIVRARIA CULTURA - SHOPPING FASHION MALL LIVRARIA CULTURA - SHOPPING MARKET PLACE LIVRARIA CULTURA - BOURBON SHOPPING COUNTRY LIVRARIA CULTURA - BOURBON SHOPPING SÃO PAULO LIVRARIA CULTURA - SHOPPING CURITIBA LIVRARIA CULTURA - SHOPPING VARANDA MALL LIVRARIA CULTURA - CONJUNTO NACIONAL GEEK.ETC.BR - CONJUNTO NACIONAL LIVRARIA CULTURA - PAÇO ALFÂNDEGA LIVRARIA CULTURA - SHOPPING VILLA-LOBOS LIVRARIA CULTURA - SHOPPING RIOMAR LIVRARIA CULTURA - CINE VITÓRIA LIVRARIA CULTURA - SHOPPING IGUATEMI SÃO PAULO LIVRARIA CULTURA - SHOPPING IGUATEMI RIBEIRÃO PRETO LIVRARIA CULTURA - SALVADOR SHOPPING LIVRARIA CULTURA - CASAPARK SHOPPING CENTER LIVRARIA CULTURA - SHOPPING IGUATEMI CAMPINAS LIVRARIA CULTURA - SHOPPING CENTER IGUATEMI BRASÍLIA";"R$ 54,40";"http://www.livrariacultura.com.br/p/pokemon-adventures-diamond-and-pearl-platinum-42106242"
"Livraria Cultura";"Pokemon Platinum";"POKEMON ADVENTURES PLATINUM, V.3 LIVRARIA CULTURA - SHOPPING FASHION MALL LIVRARIA CULTURA - SHOPPING MARKET PLACE LIVRARIA CULTURA - BOURBON SHOPPING COUNTRY LIVRARIA CULTURA - BOURBON SHOPPING SÃO PAULO LIVRARIA CULTURA - SHOPPING CURITIBA LIVRARIA CULTURA - SHOPPING VARANDA MALL LIVRARIA CULTURA - CONJUNTO NACIONAL GEEK.ETC.BR - CONJUNTO NACIONAL LIVRARIA CULTURA - PAÇO ALFÂNDEGA LIVRARIA CULTURA - SHOPPING VILLA-LOBOS LIVRARIA CULTURA - SHOPPING RIOMAR LIVRARIA CULTURA - CINE VITÓRIA LIVRARIA CULTURA - SHOPPING IGUATEMI SÃO PAULO LIVRARIA CULTURA - SHOPPING IGUATEMI RIBEIRÃO PRETO LIVRARIA CULTURA - SALVADOR SHOPPING LIVRARIA CULTURA - CASAPARK SHOPPING CENTER LIVRARIA CULTURA - SHOPPING IGUATEMI CAMPINAS LIVRARIA CULTURA - SHOPPING CENTER IGUATEMI BRASÍLIA";"R$ 54,40";"http://www.livrariacultura.com.br/p/pokemon-adventures-platinum-v3-22540386"
"Livraria Cultura";"Pokemon Platinum";"POKEMON ADVENTURES PLATINUM, V.2 LIVRARIA CULTURA - SHOPPING FASHION MALL LIVRARIA CULTURA - SHOPPING MARKET PLACE LIVRARIA CULTURA - BOURBON SHOPPING COUNTRY LIVRARIA CULTURA - BOURBON SHOPPING SÃO PAULO LIVRARIA CULTURA - SHOPPING CURITIBA LIVRARIA CULTURA - SHOPPING VARANDA MALL LIVRARIA CULTURA - CONJUNTO NACIONAL GEEK.ETC.BR - CONJUNTO NACIONAL LIVRARIA CULTURA - PAÇO ALFÂNDEGA LIVRARIA CULTURA - SHOPPING VILLA-LOBOS LIVRARIA CULTURA - SHOPPING RIOMAR LIVRARIA CULTURA - CINE VITÓRIA LIVRARIA CULTURA - SHOPPING IGUATEMI SÃO PAULO LIVRARIA CULTURA - SHOPPING IGUATEMI RIBEIRÃO PRETO LIVRARIA CULTURA - SALVADOR SHOPPING LIVRARIA CULTURA - CASAPARK SHOPPING CENTER LIVRARIA CULTURA - SHOPPING IGUATEMI CAMPINAS LIVRARIA CULTURA - SHOPPING CENTER IGUATEMI BRASÍLIA";"R$ 54,40";"http://www.livrariacultura.com.br/p/pokemon-adventures-platinum-v2-22357901"
"Livraria Cultura";"Pokemon Platinum";"POKEMON ADVENTURES PLATINUM, V.4 LIVRARIA CULTURA - SHOPPING FASHION MALL LIVRARIA CULTURA - SHOPPING MARKET PLACE LIVRARIA CULTURA - BOURBON SHOPPING COUNTRY LIVRARIA CULTURA - BOURBON SHOPPING SÃO PAULO LIVRARIA CULTURA - SHOPPING CURITIBA LIVRARIA CULTURA - SHOPPING VARANDA MALL LIVRARIA CULTURA - CONJUNTO NACIONAL GEEK.ETC.BR - CONJUNTO NACIONAL LIVRARIA CULTURA - PAÇO ALFÂNDEGA LIVRARIA CULTURA - SHOPPING VILLA-LOBOS LIVRARIA CULTURA - SHOPPING RIOMAR LIVRARIA CULTURA - CINE VITÓRIA LIVRARIA CULTURA - SHOPPING IGUATEMI SÃO PAULO LIVRARIA CULTURA - SHOPPING IGUATEMI RIBEIRÃO PRETO LIVRARIA CULTURA - SALVADOR SHOPPING LIVRARIA CULTURA - CASAPARK SHOPPING CENTER LIVRARIA CULTURA - SHOPPING IGUATEMI CAMPINAS LIVRARIA CULTURA - SHOPPING CENTER IGUATEMI BRASÍLIA";"R$ 43,50";"http://www.livrariacultura.com.br/p/pokemon-adventures-platinum-v4-22668210"
"Livraria Cultura";"Pokemon Platinum";"POKEMON ADVENTURES PLATINUM, V.1 LIVRARIA CULTURA - SHOPPING FASHION MALL LIVRARIA CULTURA - SHOPPING MARKET PLACE LIVRARIA CULTURA - BOURBON SHOPPING COUNTRY LIVRARIA CULTURA - BOURBON SHOPPING SÃO PAULO LIVRARIA CULTURA - SHOPPING CURITIBA LIVRARIA CULTURA - SHOPPING VARANDA MALL LIVRARIA CULTURA - CONJUNTO NACIONAL GEEK.ETC.BR - CONJUNTO NACIONAL LIVRARIA CULTURA - PAÇO ALFÂNDEGA LIVRARIA CULTURA - SHOPPING VILLA-LOBOS LIVRARIA CULTURA - SHOPPING RIOMAR LIVRARIA CULTURA - CINE VITÓRIA LIVRARIA CULTURA - SHOPPING IGUATEMI SÃO PAULO LIVRARIA CULTURA - SHOPPING IGUATEMI RIBEIRÃO PRETO LIVRARIA CULTURA - SALVADOR SHOPPING LIVRARIA CULTURA - CASAPARK SHOPPING CENTER LIVRARIA CULTURA - SHOPPING IGUATEMI CAMPINAS LIVRARIA CULTURA - SHOPPING CENTER IGUATEMI BRASÍLIA";"R$ 43,50";"http://www.livrariacultura.com.br/p/pokemon-adventures-platinum-v1-22203005"
"Livraria Cultura";"Pokemon Platinum";"POKEMON PLATINUM - PRIMA OFFICIAL GAME GUIDE";"Indisponível";"http://www.livrariacultura.com.br/p/pokemon-platinum-prima-official-game-guide-5081026"
"Mula Games";"Pokemon Platinum";"-";"-";"http://www.mulagames.com.br/produtos-index/catalogo_produtos/-/-/<BUSCA>/-/-/-/-/-/"
"Ricardo Eletro";"Pokemon Platinum";"-";"-";"http://www.ricardoeletro.com.br/Busca/Resultado/?q=<BUSCA>"
"RiHappy";"Pokemon Platinum";"-";"-";"http://www.rihappy.com.br/<BUSCA>"
"Saraiva";"Pokemon Platinum";"Nintendo Ds Edição Especial Pokémon + Jogo Pokémon Platinum";"R$ 299,00 (63% de desconto)";"http://busca.saraiva.com.br/click?apikey=saraiva-v5&search_id=67578a18-c9da-4eda-acae-a5c1485866ff&pid=2645571&page=1&prodIdx=0&q=Pokemon+Platinum"
"Shop Facil";"Pokemon Platinum";"-";"-";"http://ww2.shopfacil.com.br/<BUSCA>"
"Nintendo eShop";"Pokemon Rumble Blast";"Pokémon Rumble Blast";"$34.99*";"http://www.nintendo.com/games/detail/wvpKjwgULM_q7CSJHV6dH5bbN8G1emCY"
"Americanas";"Pokemon Rumble Blast";"Game Pokémon Rumble Blast - 3DS";"R$ 299,90";"http://www.americanas.com.br/produto/110455209/game-pokemon-rumble-blast-3ds"
"Big Boy Games";"Pokemon Rumble Blast";"Pokemon Rumble Blast";"R$ 129,90";"http://www.bigboygames.com.br/pesquisa/?p=Pokemon+Rumble+Blast"
